,State or UN,Area,national share
0,Rajasthan,"342,238",10.41
1,Madhya Pradesh,"308,350",9.37
2,Maharashtra,"307,713",9.36
3,Uttar Pradesh,"243,290",7.33
4,Gujarat,"196,024",5.96
5,Karnataka,"191,791",5.83
6,Andhra Pradesh,"162,968",4.87
7,Odisha,"155,707",4.73
8,Chhattisgarh,"135,191",4.11
9,Tamil Nadu,"130,058",3.95
10,Telangana,"112,077",3.49
11,Jammu and Kashmir,"101,387",3.11
12,Bihar,"94,165",2.86
13,West Bengal,"88,752",2.70
14,Arunachal Pradesh,"83,743",2.54
15,Jharkhand,"79,714",2.42
16,Assam,"78,438",2.38
17,Himachal Pradesh,"55,673",1.70
18,Uttarakhand,"53,483",1.62
19,Punjab,"50,362",1.53
20,Haryana,"44,212",1.34
21,Kerala,"38,863",1.18
22,Meghalaya,"22,429",0.68
23,Manipur,"22,327",0.68
24,Mizoram,"21,081",0.64
25,Nagaland,"16,579",0.50
26,Tripura,"10,486",0.31
27,Sikkim,"7,096",0.21
28,Goa,"3,702",0.11
29,Andaman and Nicobar Islands,"8,249",0.25
30,Delhi,"1,483",0.04
31,Puducherry,492,0.01
32,Dadra and Nagar Haveli,491,0.01
33,Chandigarh,114,0.003
34,Daman and Diu,112,0.003
35,Lakshadweep,32,0.001
36,Disputed area (between the states),23,0.0007
37,India,"3,287,263[a]",100
